"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"Pepas","Pepas","Farruko",NA,"USSD12100307","82","167.3",1500499584,"359.50200000000001",125112486,"74",1431591689,11553088,2866181,290811371,4067248819,782475986,"258","240.67699999999999",438,137,4015523,"102",120046948,"89.581999999999994",6.227,17210946,NA,"1"
"Peekaboo","Glide - Single","Dave Angel",NA,"GBLTF2300027","83","167.2",8.082,"63",32.758,NA,2055940513,4150967,NA,NA,NA,NA,"1","13",NA,0,NA,NA,NA,NA,NA,442,NA,"0"
"Ella Baila Sola","Ella Baila Sola","Eslabon Armado",NA,"USE7D2300007","84","166.5",1215336974,"129.46299999999999",39814172,"74",701880622,3831236,5.416,550.073,15373104,546259059,"83","40.152999999999999",227,24,4946338,"61",84378219,"53.89",17115523,3435177,NA,"0"
"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",NA,"USAT22305457","85","166.2",860026452,"74.769000000000005",139913794,"80",173044031,1640319,175.536,90924917,1227837850,1205266954,"7","759.18499999999995",1.1,82,4067956,NA,64567514,"22.064",1843883,3199636,NA,"0"
"La Bebe - Remix","La Bebe (Remix)","Yng Lvcas",NA,"MXF152300159","86","164.9",1032225805,"94.887",74469479,"79",920878032,3118229,1031612,116003972,2416141351,1690231413,"83","57.941000000000003",177,42,3360878,"48",55410702,"27.414999999999999",230.579,2635577,NA,"1"
"redrum","american dream","21 Savage",2024-12-01,"USSM12309164","87","164.8",428233003,"57.311",144298748,NA,105148629,1762297,87.2,6732800,43993800,977638660,"74","102.45699999999999",56,48,4037475,"60",16802867,"11.821",NA,2490071,NA,"1"
"Easy On Me","Easy On Me","Adele",NA,"USSM12105970","88","163.2",1720918065,"209.63499999999999",93875458,"73",1194846205,13561925,1912194,733101955,7860224413,6353555150,"325","774.27700000000004",1.316,257,5323750,"100",203324731,"126.59399999999999",NA,7569155,NA,"0"
"Titï¿½ï¿½ Me Pregu","Un Verano Sin Ti","Bad Bunny",2022-06-05,"QM6MZ2214878","89","163.1",1514239759,"190.69200000000001",77283361,"77",1366181141,9358441,1769068,475656543,5249863696,488048337,"150","145.63999999999999",920,44,5591928,"108",69095169,"81.914000000000001",NA,5133847,NA,"1"
"All My Life (feat. J. Cole)","All My Life (feat. J. Cole)","Lil Durk",2023-12-05,"USQX92302957","90","162",333202114,"108.322",41018697,"68",203487345,2084532,928.132,63253779,748253884,735908540,"148","346.411",146,30,1277729,"60",90114807,"46.789000000000001",16620102,4207535,NA,"1"
"Anti-Hero","Midnights","Taylor Swift",NA,"USUG12205736","91","161.8",1563224246,"117.005",97456780,"80",203259285,3482508,1302967,376660493,3864505972,724976542,"261","1,034,319",1.088,74,4457357,"150",92338994,"45.973999999999997",NA,4703179,NA,"0"
